time(0.000012,0.000042,0.000169,0.000701,0.002137,0.007784,0.032302)
time(0.000006,0.000022,0.000083,0.000381,0.001514,0.006548,0.028486)
time(0.000006,0.000018,0.000075,0.000320,0.001387,0.005915,0.026225)
time(0.000007,0.000024,0.000096,0.000410,0.001738,0.007707,0.028982)
time(0.000006,0.000022,0.000087,0.000371,0.001657,0.006529,0.027907)
time(0.000005,0.000020,0.000070,0.000301,0.001293,0.005461,0.023776)
time(0.000005,0.000018,0.000068,0.000289,0.001256,0.005494,0.024453)
time(0.000005,0.000018,0.000070,0.000292,0.001354,0.005870,0.026106)
time(0.000005,0.000016,0.000068,0.000289,0.001242,0.005343,0.023463)
time(0.000005,0.000019,0.000075,0.000314,0.001354,0.006239,0.023247)
time(0.000005,0.000018,0.000067,0.000289,0.001252,0.005386,0.021736)
time(0.000005,0.000018,0.000068,0.000289,0.001287,0.005490,0.023601)
time(0.000007,0.000022,0.000081,0.000390,0.001478,0.005950,0.025747)
time(0.000005,0.000018,0.000068,0.000287,0.001278,0.005513,0.023342)
time(0.000005,0.000018,0.000068,0.000289,0.001261,0.005415,0.023976)
time(0.000006,0.000021,0.000087,0.000347,0.001575,0.006824,0.031755)
time(0.000005,0.000019,0.000073,0.000336,0.001553,0.006836,0.026347)
time(0.000007,0.000020,0.000081,0.000365,0.001569,0.005856,0.025297)
time(0.000006,0.000020,0.000082,0.000342,0.001523,0.006685,0.027684)
time(0.000006,0.000018,0.000068,0.000288,0.001249,0.005389,0.023850)
time(0.000006,0.000023,0.000081,0.000340,0.001571,0.006583,0.026945)
time(0.000005,0.000018,0.000068,0.000287,0.001257,0.005265,0.023133)
time(0.000007,0.000022,0.000084,0.000366,0.001606,0.006937,0.030088)
time(0.000006,0.000024,0.000081,0.000342,0.001481,0.007085,0.029320)
time(0.000006,0.000021,0.000079,0.000342,0.001342,0.005853,0.028925)
time(0.000006,0.000022,0.000093,0.000374,0.001625,0.007248,0.028240)
time(0.000005,0.000019,0.000098,0.000311,0.001340,0.006166,0.026905)
time(0.000007,0.000024,0.000096,0.000401,0.001721,0.008457,0.033257)
time(0.000005,0.000019,0.000073,0.000314,0.001359,0.006569,0.029100)
time(0.000005,0.000017,0.000074,0.000312,0.001352,0.006105,0.025424)
time(0.000005,0.000018,0.000068,0.000287,0.001283,0.005354,0.026728)
time(0.000005,0.000017,0.000068,0.000310,0.001293,0.005356,0.023395)
time(0.000005,0.000019,0.000074,0.000334,0.001432,0.006215,0.023835)
time(0.000004,0.000015,0.000068,0.000288,0.001221,0.004975,0.022948)
time(0.000007,0.000017,0.000074,0.000314,0.001436,0.005435,0.021795)
time(0.000005,0.000017,0.000079,0.000334,0.001358,0.006079,0.025825)
time(0.000005,0.000017,0.000068,0.000288,0.001250,0.005161,0.026100)
time(0.000006,0.000021,0.000080,0.000384,0.001463,0.006390,0.028529)
time(0.000007,0.000022,0.000088,0.000568,0.001623,0.007023,0.031934)
time(0.000005,0.000022,0.000080,0.000340,0.001618,0.008009,0.030860)
time(0.000006,0.000023,0.000091,0.000377,0.001850,0.007565,0.034903)
time(0.000006,0.000116,0.000095,0.000377,0.001621,0.007135,0.031325)
time(0.000006,0.000024,0.000093,0.000401,0.001732,0.007432,0.030306)
time(0.000006,0.000023,0.000097,0.000404,0.001719,0.006358,0.028132)
time(0.000005,0.000021,0.000088,0.000362,0.001466,0.006404,0.027777)
time(0.000006,0.000021,0.000079,0.000338,0.001464,0.006415,0.028488)
time(0.000005,0.000019,0.000074,0.000336,0.001440,0.006198,0.025591)
time(0.000006,0.000023,0.000089,0.000340,0.001470,0.006381,0.026930)
time(0.000006,0.000021,0.000087,0.000364,0.001568,0.005850,0.025285)
time(0.000006,0.000020,0.000080,0.000344,0.001479,0.006385,0.027008)
